trip_id,timestamp,hour,day_of_week,is_weekend,vehicle_id,vehicle_type,vehicle_lat,vehicle_lon,origin_lat,origin_lon,dest_lat,dest_lon,pickup_distance,pickup_eta,trip_distance,trip_duration,surge_multiplier,fare,user_preference,lat_bin,lon_bin,grid_id
TRIP_000043,2024-02-18 23:57:00,23,6,True,VEH_0234,SUV,12.981746,77.590609,13.093685,77.694844,13.011268,77.451482,16.78,22.29,27.86,48.47,1.45,1109.67,cheap,1309,7769,1309_7769
TRIP_000044,2024-03-18 02:16:00,2,0,False,VEH_0568,Mini,13.062622,77.539937,12.948799,77.633825,13.093746,77.530974,16.21,32.0,19.56,39.22,1.09,322.16,cheap,1294,7763,1294_7763
TRIP_000045,2024-05-29 13:40:00,13,2,False,VEH_2036,Auto,12.998114,77.565434,12.984034,77.486712,13.008277,77.623365,8.66,19.52,15.02,30.29,1.06,271.33,cheap,1298,7748,1298_7748
TRIP_000046,2024-01-24 08:49:00,8,2,False,VEH_2307,SUV,12.975792,77.715735,12.93887,77.474838,13.017555,77.711862,26.38,99.18,27.09,99.03,1.36,1193.47,fast,1293,7747,1293_7747
TRIP_000047,2024-01-16 06:00:00,6,1,False,VEH_1411,Mini,12.91464,77.526287,13.05115,77.590445,12.965518,77.596294,16.67,30.52,9.53,14.51,1.15,197.68,fast,1305,7759,1305_7759
TRIP_000048,2024-03-20 22:29:00,22,2,False,VEH_0552,Auto,12.864597,77.534407,13.046587,77.704342,12.881698,77.489018,27.32,40.14,29.62,53.21,1.09,498.89,cheap,1304,7770,1304_7770
TRIP_000049,2024-04-12 06:04:00,6,4,False,VEH_0318,SUV,13.025368,77.696725,12.933352,77.499259,12.942144,77.710949,23.67,38.31,22.92,45.75,1.18,864.51,cheap,1293,7749,1293_7749
TRIP_000050,2024-01-05 14:11:00,14,4,False,VEH_2719,Auto,13.101165,77.59995,12.930027,77.592872,13.009266,77.555587,19.01,53.85,9.68,22.77,1.07,177.56,fast,1293,7759,1293_7759
TRIP_000051,2024-05-08 13:32:00,13,2,False,VEH_1919,SUV,13.070728,77.466444,12.950122,77.582402,12.960934,77.46474,18.34,46.19,12.78,26.2,1.04,448.41,cheap,1295,7758,1295_7758
TRIP_000052,2024-06-01 08:33:00,8,5,True,VEH_0695,Mini,12.905214,77.716809,13.032234,77.605586,12.882755,77.464961,18.54,68.69,22.51,88.84,1.29,572.09,balanced,1303,7760,1303_7760
TRIP_000053,2024-03-09 07:04:00,7,5,True,VEH_0775,Sedan,12.884821,77.732203,13.00964,77.532638,13.11478,77.659854,25.66,88.92,18.04,62.83,1.38,703.56,balanced,1300,7753,1300_7753
TRIP_000054,2024-03-09 15:13:00,15,5,True,VEH_0811,Auto,13.012613,77.677036,12.901309,77.511073,13.04107,77.661756,21.79,47.62,22.51,56.18,1.04,401.25,balanced,1290,7751,1290_7751
TRIP_000055,2024-05-02 23:19:00,23,3,False,VEH_1220,Mini,12.906093,77.502139,13.105769,77.656381,12.90107,77.654433,27.74,54.88,22.72,41.76,1.09,405.78,balanced,1310,7765,1310_7765
TRIP_000056,2024-05-01 13:21:00,13,2,False,VEH_2375,Sedan,12.865563,77.521887,12.856248,77.742311,13.114377,77.501218,23.88,51.9,38.75,115.69,1.07,975.66,cheap,1285,7774,1285_7774
TRIP_000057,2024-05-05 07:30:00,7,6,True,VEH_0562,Sedan,13.000023,77.463591,12.882816,77.695678,13.02018,77.747124,28.27,83.1,16.23,53.56,1.33,558.27,cheap,1288,7769,1288_7769
TRIP_000058,2024-01-26 09:51:00,9,4,False,VEH_1979,SUV,12.876534,77.572838,13.070856,77.585785,13.070445,77.746938,21.62,95.76,17.42,70.08,1.49,913.96,fast,1307,7758,1307_7758
TRIP_000059,2024-03-18 22:21:00,22,0,False,VEH_0555,Auto,13.079157,77.559781,13.117412,77.682358,13.107087,77.72065,13.92,22.98,4.3,8.71,1.14,108.71,cheap,1311,7768,1311_7768
TRIP_000060,2024-02-07 13:54:00,13,2,False,VEH_0355,Mini,12.986115,77.631628,12.916077,77.748226,12.957158,77.459271,14.82,34.49,31.59,70.32,1.09,502.26,cheap,1291,7774,1291_7774
TRIP_000061,2024-02-19 12:40:00,12,0,False,VEH_0136,Auto,13.033382,77.680547,12.882379,77.532177,13.038068,77.613475,23.2,47.8,19.39,38.95,1.18,346.08,balanced,1288,7753,1288_7753
TRIP_000062,2024-03-30 10:25:00,10,5,True,VEH_2802,Sedan,13.135785,77.606178,13.026744,77.73358,12.932874,77.507172,18.33,59.23,26.61,82.07,1.87,1163.32,fast,1302,7773,1302_7773
TRIP_000063,2024-05-25 11:18:00,11,5,True,VEH_0768,Auto,12.899902,77.633803,12.883057,77.4525,13.12817,77.494139,19.71,36.75,27.58,54.65,1.06,454.5,cheap,1288,7745,1288_7745
TRIP_000064,2024-03-18 15:18:00,15,0,False,VEH_1036,Mini,13.127478,77.618805,12.869385,77.538418,12.986157,77.515198,29.94,63.57,13.2,37.31,1.1,248.37,fast,1286,7753,1286_7753
TRIP_000065,2024-06-18 00:03:00,0,1,False,VEH_1535,Auto,13.07028,77.667074,12.92543,77.555065,12.93498,77.707703,20.13,32.37,16.55,25.61,1.03,252.34,fast,1292,7755,1292_7755
TRIP_000066,2024-02-06 23:12:00,23,1,False,VEH_1975,Auto,13.091106,77.53659,12.979615,77.725478,12.937241,77.459641,23.88,34.89,29.14,55.53,1.14,498.14,fast,1297,7772,1297_7772
TRIP_000067,2024-01-26 08:58:00,8,4,False,VEH_2977,Auto,13.04581,77.57153,12.940607,77.543221,13.019172,77.653677,12.07,51.98,14.79,57.38,1.75,453.39,cheap,1294,7754,1294_7754
TRIP_000068,2024-04-16 17:12:00,17,1,False,VEH_2549,SUV,13.000743,77.655451,12.940319,77.475679,13.02,77.638496,20.57,80.79,19.71,82.95,1.9,1392.83,cheap,1294,7747,1294_7747
TRIP_000069,2024-05-14 14:44:00,14,1,False,VEH_2596,Sedan,13.144931,77.480544,12.943978,77.730464,13.06378,77.590514,35.03,86.58,20.15,49.95,1.08,497.8,balanced,1294,7773,1294_7773
TRIP_000070,2024-01-07 13:05:00,13,6,True,VEH_2234,SUV,12.878345,77.648257,13.076757,77.634563,12.940717,77.522794,22.07,43.93,19.34,45.46,1.11,711.84,fast,1307,7763,1307_7763
TRIP_000071,2024-01-14 12:08:00,12,6,True,VEH_2305,Mini,13.048053,77.64244,12.970883,77.451786,13.092244,77.712473,22.32,45.37,31.25,76.06,1.01,517.7,balanced,1297,7745,1297_7745
TRIP_000072,2024-01-28 10:38:00,10,6,True,VEH_0417,Sedan,12.98492,77.692945,12.87922,77.537173,12.99444,77.549392,20.53,83.02,12.86,39.1,1.74,647.87,cheap,1287,7753,1287_7753
TRIP_000073,2024-06-28 06:33:00,6,4,False,VEH_0843,Sedan,12.910695,77.656578,12.893246,77.672127,12.998591,77.517063,2.57,4.11,20.45,30.73,1.06,473.6,cheap,1289,7767,1289_7767
TRIP_000074,2024-05-04 19:44:00,19,5,True,VEH_0577,Auto,12.973888,77.511168,12.91021,77.470143,12.895907,77.71397,8.35,27.6,26.43,98.0,1.28,544.63,balanced,1291,7747,1291_7747
TRIP_000075,2024-04-23 12:03:00,12,1,False,VEH_0856,Sedan,13.082038,77.675947,13.127813,77.539977,12.995116,77.505213,15.55,41.76,15.2,32.03,1.05,407.85,fast,1312,7753,1312_7753
TRIP_000076,2024-06-17 19:07:00,19,0,False,VEH_2370,Sedan,12.896268,77.735649,12.979706,77.640859,12.905442,77.695565,13.82,52.0,10.15,46.74,1.79,602.77,fast,1297,7764,1297_7764
TRIP_000077,2024-05-02 09:18:00,9,3,False,VEH_1084,Auto,12.95295,77.664011,13.050261,77.737727,12.997889,77.65031,13.43,56.15,11.1,41.14,1.29,266.0,fast,1305,7773,1305_7773
TRIP_000078,2024-02-07 00:18:00,0,2,False,VEH_1372,Auto,13.08099,77.677242,12.987125,77.619263,12.853306,77.540828,12.16,19.7,17.11,25.34,1.12,280.14,fast,1298,7761,1298_7761
TRIP_000079,2024-02-05 14:56:00,14,0,False,VEH_2018,Mini,12.869874,77.650276,13.06692,77.533071,13.144526,77.557324,25.28,53.12,9.0,21.58,1.07,194.77,fast,1306,7753,1306_7753
TRIP_000080,2024-05-11 02:11:00,2,5,True,VEH_0815,Mini,12.928845,77.70866,13.046776,77.55556,13.065763,77.551787,21.11,27.77,2.15,3.0,1.06,85.36,fast,1304,7755,1304_7755
TRIP_000081,2024-04-10 02:58:00,2,2,False,VEH_2458,SUV,12.894223,77.542602,13.101798,77.595123,13.138767,77.631753,23.73,46.65,5.7,9.02,1.1,296.43,fast,1310,7759,1310_7759
TRIP_000082,2024-02-03 22:20:00,22,5,True,VEH_1432,Mini,12.857909,77.569104,13.026656,77.624217,13.025348,77.698966,19.66,33.96,8.08,14.23,1.39,208.79,balanced,1302,7762,1302_7762
TRIP_000083,2024-01-28 15:59:00,15,6,True,VEH_1368,SUV,13.001871,77.617589,13.053797,77.547098,12.91946,77.681523,9.56,16.38,20.82,37.24,1.02,695.65,balanced,1305,7754,1305_7754
TRIP_000084,2024-04-08 13:59:00,13,0,False,VEH_1455,Sedan,12.973871,77.706045,12.869311,77.633571,12.884342,77.704041,14.01,40.54,7.81,16.95,1.12,278.72,cheap,1286,7763,1286_7763
TRIP_000085,2024-03-23 03:44:00,3,5,True,VEH_1829,Mini,12.950032,77.540848,12.984853,77.489965,13.041219,77.61694,6.73,10.94,15.09,21.64,1.14,260.77,balanced,1298,7748,1298_7748
TRIP_000086,2024-02-11 13:52:00,13,6,True,VEH_1361,Auto,12.876053,77.532781,13.008559,77.687001,12.875805,77.457273,22.24,37.58,28.89,68.9,1.01,435.53,cheap,1300,7768,1300_7768
TRIP_000087,2024-04-02 13:36:00,13,1,False,VEH_1598,SUV,13.138359,77.541004,13.013974,77.47159,12.905591,77.668993,15.71,32.39,24.51,55.65,1.1,885.23,balanced,1301,7747,1301_7747
TRIP_000088,2024-05-01 16:22:00,16,2,False,VEH_0990,SUV,13.096499,77.651007,12.956946,77.719927,13.106026,77.690479,17.19,42.29,16.85,38.51,1.17,673.03,cheap,1295,7771,1295_7771
TRIP_000089,2024-05-12 09:06:00,9,6,True,VEH_0850,Auto,13.028104,77.605833,12.885378,77.519172,13.030447,77.549276,18.41,68.97,16.43,46.56,1.94,523.87,balanced,1288,7751,1288_7751
TRIP_000090,2024-04-01 02:55:00,2,0,False,VEH_0050,Mini,12.924372,77.469208,13.111442,77.740434,12.872433,77.622607,35.95,54.0,29.43,43.02,1.1,454.16,cheap,1311,7774,1311_7774
TRIP_000091,2024-05-19 22:57:00,22,6,True,VEH_0471,Mini,12.870304,77.607818,12.883262,77.591294,13.125217,77.528916,2.29,4.04,27.69,42.3,1.2,470.23,cheap,1288,7759,1288_7759
TRIP_000092,2024-02-05 06:35:00,6,0,False,VEH_0841,Sedan,12.854884,77.72883,13.095029,77.548883,13.077203,77.723696,33.01,68.6,19.0,32.66,1.16,516.99,balanced,1309,7754,1309_7754
TRIP_000093,2024-06-28 01:22:00,1,4,False,VEH_1927,Auto,12.955814,77.530207,13.144317,77.734972,13.029444,77.63373,30.47,62.76,16.8,28.22,1.19,306.15,cheap,1314,7773,1314_7773
TRIP_000094,2024-01-27 01:31:00,1,5,True,VEH_1012,Auto,13.103131,77.542506,13.002281,77.645101,12.979455,77.541026,15.76,19.75,11.54,13.87,1.0,175.47,cheap,1300,7764,1300_7764
TRIP_000095,2024-05-16 19:55:00,19,3,False,VEH_2649,Auto,12.853701,77.681292,12.963817,77.655079,12.855428,77.594652,12.55,52.56,13.69,57.6,1.3,345.6,balanced,1296,7765,1296_7765
TRIP_000096,2024-02-05 03:28:00,3,0,False,VEH_0237,Mini,13.07036,77.631114,12.885398,77.634696,13.121065,77.555537,20.53,37.56,27.53,40.43,1.05,389.64,cheap,1288,7763,1288_7763
TRIP_000097,2024-02-28 13:47:00,13,2,False,VEH_2032,SUV,12.972273,77.678423,13.075771,77.692321,13.010865,77.463734,11.59,24.81,25.74,53.76,1.05,774.23,cheap,1307,7769,1307_7769
TRIP_000098,2024-02-02 14:11:00,14,4,False,VEH_0495,SUV,12.955464,77.462707,12.934779,77.544238,13.030725,77.717127,9.11,18.24,21.52,60.64,1.08,794.78,balanced,1293,7754,1293_7754
TRIP_000099,2024-01-20 02:16:00,2,5,True,VEH_1443,SUV,13.091412,77.582558,13.131511,77.511758,13.061577,77.694027,8.85,10.91,21.18,26.46,1.09,660.71,fast,1313,7751,1313_7751
TRIP_000100,2024-05-21 09:55:00,9,1,False,VEH_0117,SUV,12.90357,77.73876,13.046093,77.608053,12.930261,77.659332,21.22,84.76,14.0,68.17,1.92,1156.65,balanced,1304,7760,1304_7760
TRIP_000101,2024-05-04 08:05:00,8,5,True,VEH_0039,Mini,12.895852,77.678753,12.911066,77.491139,13.142782,77.519161,20.37,61.91,25.9,97.62,1.5,731.6,cheap,1291,7749,1291_7749
TRIP_000102,2024-01-10 07:44:00,7,2,False,VEH_2373,SUV,12.879623,77.492738,12.982083,77.679258,13.135913,77.456387,23.17,81.68,29.54,130.12,1.67,1722.39,cheap,1298,7767,1298_7767
TRIP_000103,2024-01-16 08:54:00,8,1,False,VEH_0291,Auto,12.919657,77.641371,13.032924,77.598607,13.108832,77.565399,13.4,65.53,9.16,41.52,1.35,248.07,cheap,1303,7759,1303_7759
TRIP_000104,2024-06-18 09:02:00,9,1,False,VEH_1630,Sedan,13.007145,77.565226,13.012465,77.554341,12.857798,77.632622,1.32,4.55,19.14,65.49,1.93,1027.98,balanced,1301,7755,1301_7755
TRIP_000105,2024-02-25 00:21:00,0,6,True,VEH_2029,Auto,12.959939,77.626814,13.067736,77.636459,13.109723,77.684784,12.01,14.65,7.0,9.09,1.16,147.7,balanced,1306,7763,1306_7763
TRIP_000106,2024-06-22 09:54:00,9,5,True,VEH_2030,SUV,13.052058,77.482197,13.147267,77.610428,12.977151,77.665766,17.43,52.47,19.81,73.03,1.97,1402.93,cheap,1314,7761,1314_7761
TRIP_000107,2024-02-03 00:17:00,0,5,True,VEH_0985,Mini,13.105227,77.681249,13.089877,77.73529,12.875661,77.52498,6.09,8.55,32.9,50.27,1.08,511.01,fast,1308,7773,1308_7773
TRIP_000108,2024-03-09 21:16:00,21,5,True,VEH_0722,SUV,13.020009,77.704833,13.084728,77.693078,13.0324,77.487292,7.3,14.2,22.99,49.54,1.21,828.9,fast,1308,7769,1308_7769
TRIP_000109,2024-01-05 14:00:00,14,4,False,VEH_1896,Sedan,13.086864,77.6414,12.989932,77.739766,12.994062,77.703298,15.13,40.93,3.97,11.57,1.19,191.61,balanced,1298,7773,1298_7773
TRIP_000110,2024-05-21 10:04:00,10,1,False,VEH_1149,Auto,12.974808,77.627225,12.982132,77.527402,13.086021,77.527862,10.83,43.4,11.53,51.77,1.34,318.71,balanced,1298,7752,1298_7752
TRIP_000111,2024-01-13 07:07:00,7,5,True,VEH_0108,Sedan,13.084716,77.573514,13.04638,77.505277,13.002016,77.582093,8.52,30.63,9.66,31.52,1.38,434.86,fast,1304,7750,1304_7750
TRIP_000112,2024-03-06 00:43:00,0,2,False,VEH_2278,Mini,12.902414,77.707839,13.103479,77.704822,13.012132,77.46342,22.32,42.81,28.0,56.89,1.1,442.32,cheap,1310,7770,1310_7770
TRIP_000113,2024-03-01 06:20:00,6,4,False,VEH_2019,Sedan,13.084711,77.726029,13.02111,77.698741,13.054305,77.471418,7.65,13.51,24.86,46.66,1.0,571.44,fast,1302,7769,1302_7769
TRIP_000114,2024-03-26 13:57:00,13,1,False,VEH_1060,SUV,12.903275,77.711144,13.045593,77.591206,13.14205,77.636575,20.44,56.78,11.78,34.56,1.19,569.66,cheap,1304,7759,1304_7759
TRIP_000115,2024-01-28 19:13:00,19,6,True,VEH_0888,SUV,12.89915,77.735905,13.09241,77.603239,13.084262,77.602455,25.81,83.32,0.91,3.23,1.37,215.6,cheap,1309,7760,1309_7760
TRIP_000116,2024-06-17 23:09:00,23,0,False,VEH_0327,Auto,13.026202,77.66798,12.964327,77.749346,12.873533,77.473193,11.16,16.3,31.53,60.74,1.1,534.95,balanced,1296,7774,1296_7774
TRIP_000117,2024-04-17 17:46:00,17,2,False,VEH_1767,Mini,13.033912,77.721076,12.886373,77.713544,13.089462,77.632131,16.4,61.66,24.2,96.03,1.45,620.71,balanced,1288,7771,1288_7771
TRIP_000118,2024-03-16 07:21:00,7,5,True,VEH_1652,Sedan,12.948763,77.574127,12.922922,77.680293,12.958589,77.586746,11.84,35.89,10.87,42.81,1.39,485.16,fast,1292,7768,1292_7768
TRIP_000119,2024-04-02 02:22:00,2,1,False,VEH_0854,SUV,13.069229,77.480728,13.018137,77.472933,12.958689,77.595246,5.73,11.02,14.78,22.74,1.05,530.86,cheap,1301,7747,1301_7747
TRIP_000120,2024-05-17 07:49:00,7,4,False,VEH_1432,Mini,12.857909,77.569104,13.12278,77.652232,13.049771,77.631664,30.75,109.97,8.4,35.89,1.29,245.91,balanced,1312,7765,1312_7765
TRIP_000121,2024-02-07 18:31:00,18,2,False,VEH_2740,Sedan,12.962967,77.74481,13.039789,77.681793,13.119962,77.712922,10.92,54.16,9.51,44.86,1.41,455.39,fast,1303,7768,1303_7768
TRIP_000122,2024-01-26 04:55:00,4,4,False,VEH_2926,Mini,12.892551,77.72365,12.860223,77.579426,13.057014,77.74698,16.01,32.18,28.39,42.44,1.18,510.88,fast,1286,7757,1286_7757
TRIP_000123,2024-02-02 12:44:00,12,4,False,VEH_0412,Auto,13.002201,77.543122,13.017082,77.663595,12.885709,77.719228,13.13,27.19,15.77,36.52,1.12,315.86,cheap,1301,7766,1301_7766
TRIP_000124,2024-01-19 23:58:00,23,4,False,VEH_2436,Mini,12.921508,77.552241,12.956487,77.584669,12.972662,77.584926,5.23,7.91,1.8,3.36,1.1,77.58,cheap,1295,7758,1295_7758
TRIP_000125,2024-05-30 16:05:00,16,3,False,VEH_2560,SUV,12.921909,77.711162,12.895677,77.452335,13.027914,77.652172,28.15,68.85,26.13,67.58,1.04,889.36,fast,1289,7745,1289_7745
TRIP_000126,2024-01-25 07:19:00,7,3,False,VEH_1776,Sedan,13.105434,77.533355,12.997988,77.464486,13.005303,77.607558,14.06,56.05,15.5,52.92,1.43,601.92,cheap,1299,7746,1299_7746
TRIP_000127,2024-02-06 01:52:00,1,1,False,VEH_1752,Auto,12.893199,77.715467,13.133516,77.714715,13.069295,77.579161,26.68,50.18,16.29,24.25,1.06,266.05,cheap,1313,7771,1313_7771
